State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Sex_Ratio,Litercay_Rate
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1014950,707254,2149480,431762,11243,9727,331,1268,77182,1100.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,406275,266134,1044726,106865,86404,234,267,162,78622,1024.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,405161,248315,1104475,194680,17168,123,371,20,4591,1069.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,783736,469739,1856202,508586,14645,937,650,1503,59218,1060.0,51.0
Jharkhand,Godda,24.818899999999996,87.2941735483871,351,1313551,376212,228307,937126,289182,37795,97,128,115,47067,1067.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,321795,237925,309563,51429,202449,221,531,23,457468,1007.0,55.0
Jharkhand,Jamtara,23.978733180778015,86.95325080091534,363,791042,258260,168052,550560,164406,4419,520,118,783,68564,1048.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,209706,140976,473049,69808,47653,120,128,16,133525,1035.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,149568,110139,112378,95012,16770,51,33,15,235987,1015.0,56.0
Jharkhand,Pakur,24.572604280821892,87.69691969178076,353,900422,206989,145892,410127,322963,75865,356,283,222,88760,1011.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,621706,402857,1683169,238295,6164,734,188,284,5681,1078.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1085244,826189,1612239,410759,193974,4826,932,2733,677445,1053.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,287303,195960,628044,398243,83208,198,245,125,38426,1050.0,42.0
Jharkhand,Simdega,22.608760391198057,84.59193691931536,367,599578,191991,151492,201524,15103,306601,51,753,114,73930,1003.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,641388,472024,1634229,219991,3433,443,412,25198,166,1011.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,385311,303438,890429,92252,5368,389,272,1045,85,1057.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,1725548,1326484,4038331,528412,18418,2037,1086,178310,149,1028.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,813440,608181,2103633,320834,14014,1029,284,8044,54,1018.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,597198,445475,1289709,335184,35438,1145,30453,680,521,1046.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,54076,32843,245151,1617,2709,68,1649,15,3793,1017.0,34.0
